Timestamp,Voltage (mV),Temperature (C)
2025-06-05 12:01:54,249.02,24.90
2025-06-05 12:01:55,253.91,25.39
2025-06-05 12:01:56,253.91,25.39
2025-06-05 12:01:57,253.91,25.39
2025-06-05 12:01:58,244.14,24.41
2025-06-05 12:01:59,253.91,25.39
2025-06-05 12:02:00,253.91,25.39
2025-06-05 12:02:01,253.91,25.39
2025-06-05 12:02:02,253.91,25.39
2025-06-05 12:02:03,258.79,25.88
2025-06-05 12:02:04,268.55,26.86
2025-06-05 12:02:05,273.44,27.34
2025-06-05 12:02:06,283.20,28.32
2025-06-05 12:02:07,283.20,28.32
2025-06-05 12:02:08,292.97,29.30
2025-06-05 12:02:09,297.85,29.79
2025-06-05 12:02:10,302.73,30.27
2025-06-05 12:02:11,312.50,31.25
2025-06-05 12:02:12,317.38,31.74
2025-06-05 12:02:13,322.27,32.23
2025-06-05 12:02:14,327.15,32.71
2025-06-05 12:02:15,336.91,33.69
2025-06-05 12:02:16,346.68,34.67
2025-06-05 12:02:17,351.56,35.16
2025-06-05 12:02:18,356.45,35.64
2025-06-05 12:02:19,366.21,36.62
2025-06-05 12:02:20,366.21,36.62
2025-06-05 12:02:21,380.86,38.09
2025-06-05 12:02:22,385.74,38.57
2025-06-05 12:02:23,390.63,39.06
2025-06-05 12:02:24,400.39,40.04
2025-06-05 12:02:25,405.27,40.53
2025-06-05 12:02:26,415.04,41.50
2025-06-05 12:02:27,419.92,41.99
2025-06-05 12:02:28,424.80,42.48
2025-06-05 12:02:29,434.57,43.46
2025-06-05 12:02:30,439.45,43.95
2025-06-05 12:02:31,449.22,44.92
2025-06-05 12:02:32,454.10,45.41
2025-06-05 12:02:33,458.98,45.90
2025-06-05 12:02:34,468.75,46.88
2025-06-05 12:02:35,468.75,46.88
2025-06-05 12:02:36,488.28,48.83
2025-06-05 12:02:37,483.40,48.34
2025-06-05 12:02:38,493.16,49.32
2025-06-05 12:02:39,498.05,49.80
2025-06-05 12:02:40,507.81,50.78
2025-06-05 12:02:41,517.58,51.76
2025-06-05 12:02:42,517.58,51.76
2025-06-05 12:02:43,527.34,52.73
2025-06-05 12:02:44,532.23,53.22
2025-06-05 12:02:45,541.99,54.20
2025-06-05 12:02:46,546.88,54.69
2025-06-05 12:02:47,551.76,55.18
2025-06-05 12:02:48,561.52,56.15
2025-06-05 12:02:49,566.41,56.64
2025-06-05 12:02:50,571.29,57.13
2025-06-05 12:02:51,576.17,57.62
2025-06-05 12:02:52,581.05,58.11
2025-06-05 12:02:53,585.94,58.59
2025-06-05 12:02:54,595.70,59.57
2025-06-05 12:02:55,600.59,60.06
2025-06-05 12:02:56,600.59,60.06
2025-06-05 12:02:57,605.47,60.55
2025-06-05 12:02:58,615.23,61.52
2025-06-05 12:02:59,625.00,62.50
2025-06-05 12:03:00,625.00,62.50
2025-06-05 12:03:01,634.77,63.48
2025-06-05 12:03:02,639.65,63.96
2025-06-05 12:03:03,644.53,64.45
2025-06-05 12:03:04,649.41,64.94
2025-06-05 12:03:05,654.30,65.43
2025-06-05 12:03:06,659.18,65.92
2025-06-05 12:03:07,664.06,66.41
2025-06-05 12:03:08,668.95,66.89
2025-06-05 12:03:09,678.71,67.87
2025-06-05 12:03:10,683.59,68.36
2025-06-05 12:03:11,688.48,68.85
2025-06-05 12:03:12,693.36,69.34
2025-06-05 12:03:13,698.24,69.82
2025-06-05 12:03:14,703.13,70.31
2025-06-05 12:03:15,712.89,71.29
2025-06-05 12:03:16,717.77,71.78
2025-06-05 12:03:17,717.77,71.78
2025-06-05 12:03:18,722.66,72.27
2025-06-05 12:03:19,732.42,73.24
2025-06-05 12:03:20,732.42,73.24
2025-06-05 12:03:21,742.19,74.22
2025-06-05 12:03:22,742.19,74.22
