Timestamp,Voltage (mV),Temperature (C)
2025-06-05 12:19:11,283.20,28.32
2025-06-05 12:19:12,288.09,28.81
2025-06-05 12:19:13,288.09,28.81
2025-06-05 12:19:14,288.09,28.81
2025-06-05 12:19:15,292.97,29.30
2025-06-05 12:19:16,297.85,29.79
2025-06-05 12:19:17,297.85,29.79
2025-06-05 12:19:18,302.73,30.27
2025-06-05 12:19:19,307.62,30.76
2025-06-05 12:19:20,307.62,30.76
2025-06-05 12:19:21,312.50,31.25
2025-06-05 12:19:22,312.50,31.25
2025-06-05 12:19:23,317.38,31.74
2025-06-05 12:19:24,322.27,32.23
2025-06-05 12:19:25,322.27,32.23
2025-06-05 12:19:26,327.15,32.71
2025-06-05 12:19:27,332.03,33.20
2025-06-05 12:19:28,332.03,33.20
2025-06-05 12:19:29,336.91,33.69
2025-06-05 12:19:30,341.80,34.18
2025-06-05 12:19:31,341.80,34.18
2025-06-05 12:19:32,351.56,35.16
2025-06-05 12:19:33,351.56,35.16
2025-06-05 12:19:34,356.45,35.64
2025-06-05 12:19:35,361.33,36.13
2025-06-05 12:19:36,366.21,36.62
2025-06-05 12:19:37,366.21,36.62
2025-06-05 12:19:38,371.09,37.11
2025-06-05 12:19:39,375.98,37.60
2025-06-05 12:19:40,380.86,38.09
2025-06-05 12:19:41,385.74,38.57
2025-06-05 12:19:42,390.63,39.06
2025-06-05 12:19:43,395.51,39.55
2025-06-05 12:19:44,400.39,40.04
2025-06-05 12:19:45,405.27,40.53
2025-06-05 12:19:46,405.27,40.53
2025-06-05 12:19:47,410.16,41.02
2025-06-05 12:19:48,415.04,41.50
2025-06-05 12:19:49,419.92,41.99
2025-06-05 12:19:50,424.80,42.48
2025-06-05 12:19:51,429.69,42.97
2025-06-05 12:19:52,434.57,43.46
2025-06-05 12:19:53,434.57,43.46
2025-06-05 12:19:54,444.34,44.43
2025-06-05 12:19:55,444.34,44.43
2025-06-05 12:19:56,449.22,44.92
2025-06-05 12:19:57,454.10,45.41
2025-06-05 12:19:58,458.98,45.90
2025-06-05 12:19:59,463.87,46.39
2025-06-05 12:20:00,468.75,46.88
2025-06-05 12:20:01,468.75,46.88
2025-06-05 12:20:02,473.63,47.36
2025-06-05 12:20:03,478.52,47.85
2025-06-05 12:20:04,483.40,48.34
2025-06-05 12:20:05,488.28,48.83
2025-06-05 12:20:06,493.16,49.32
2025-06-05 12:20:07,493.16,49.32
2025-06-05 12:20:08,498.05,49.80
2025-06-05 12:20:09,502.93,50.29
2025-06-05 12:20:10,507.81,50.78
2025-06-05 12:20:11,507.81,50.78
2025-06-05 12:20:12,512.70,51.27
2025-06-05 12:20:13,522.46,52.25
2025-06-05 12:20:14,522.46,52.25
2025-06-05 12:20:15,527.34,52.73
2025-06-05 12:20:16,532.23,53.22
2025-06-05 12:20:17,537.11,53.71
2025-06-05 12:20:18,537.11,53.71
2025-06-05 12:20:19,541.99,54.20
2025-06-05 12:20:20,546.88,54.69
2025-06-05 12:20:21,551.76,55.18
2025-06-05 12:20:22,556.64,55.66
2025-06-05 12:20:23,556.64,55.66
2025-06-05 12:20:24,566.41,56.64
2025-06-05 12:20:25,566.41,56.64
2025-06-05 12:20:26,576.17,57.62
2025-06-05 12:20:27,576.17,57.62
2025-06-05 12:20:28,581.05,58.11
2025-06-05 12:20:29,585.94,58.59
2025-06-05 12:20:30,585.94,58.59
2025-06-05 12:20:31,590.82,59.08
2025-06-05 12:20:32,595.70,59.57
2025-06-05 12:20:33,595.70,59.57
2025-06-05 12:20:34,605.47,60.55
2025-06-05 12:20:35,605.47,60.55
2025-06-05 12:20:36,610.35,61.04
2025-06-05 12:20:37,615.23,61.52
2025-06-05 12:20:38,620.12,62.01
2025-06-05 12:20:39,620.12,62.01
2025-06-05 12:20:40,629.88,62.99
2025-06-05 12:20:41,629.88,62.99
2025-06-05 12:20:42,629.88,62.99
2025-06-05 12:20:43,639.65,63.96
2025-06-05 12:20:44,639.65,63.96
2025-06-05 12:20:45,644.53,64.45
2025-06-05 12:20:46,649.41,64.94
2025-06-05 12:20:47,649.41,64.94
2025-06-05 12:20:48,654.30,65.43
2025-06-05 12:20:49,659.18,65.92
2025-06-05 12:20:50,659.18,65.92
2025-06-05 12:20:51,664.06,66.41
2025-06-05 12:20:52,668.95,66.89
2025-06-05 12:20:53,668.95,66.89
2025-06-05 12:20:54,673.83,67.38
2025-06-05 12:20:55,678.71,67.87
2025-06-05 12:20:56,683.59,68.36
2025-06-05 12:20:57,683.59,68.36
2025-06-05 12:20:58,693.36,69.34
2025-06-05 12:20:59,693.36,69.34
2025-06-05 12:21:00,693.36,69.34
2025-06-05 12:21:01,698.24,69.82
2025-06-05 12:21:02,703.13,70.31
2025-06-05 12:21:03,703.13,70.31
2025-06-05 12:21:04,708.01,70.80
2025-06-05 12:21:05,712.89,71.29
2025-06-05 12:21:06,712.89,71.29
2025-06-05 12:21:07,717.77,71.78
2025-06-05 12:21:08,722.66,72.27
2025-06-05 12:21:09,722.66,72.27
2025-06-05 12:21:10,727.54,72.75
2025-06-05 12:21:11,732.42,73.24
2025-06-05 12:21:12,732.42,73.24
2025-06-05 12:21:13,737.30,73.73
2025-06-05 12:21:14,742.19,74.22
2025-06-05 12:21:15,742.19,74.22
2025-06-05 12:21:16,747.07,74.71
2025-06-05 12:21:17,747.07,74.71
2025-06-05 12:21:18,751.95,75.20
2025-06-05 12:21:19,751.95,75.20
2025-06-05 12:21:20,756.84,75.68
2025-06-05 12:21:21,761.72,76.17
2025-06-05 12:21:22,766.60,76.66
2025-06-05 12:21:23,766.60,76.66
2025-06-05 12:21:24,776.37,77.64
2025-06-05 12:21:25,771.48,77.15
2025-06-05 12:21:26,781.25,78.12
2025-06-05 12:21:27,776.37,77.64
2025-06-05 12:21:28,781.25,78.12
2025-06-05 12:21:29,786.13,78.61
2025-06-05 12:21:30,786.13,78.61
2025-06-05 12:21:31,791.02,79.10
2025-06-05 12:21:32,791.02,79.10
2025-06-05 12:21:33,795.90,79.59
2025-06-05 12:21:34,800.78,80.08
2025-06-05 12:21:35,800.78,80.08
2025-06-05 12:21:36,805.66,80.57
2025-06-05 12:21:37,810.55,81.05
2025-06-05 12:21:38,810.55,81.05
2025-06-05 12:21:39,810.55,81.05
2025-06-05 12:21:40,815.43,81.54
2025-06-05 12:21:41,815.43,81.54
2025-06-05 12:21:42,820.31,82.03
2025-06-05 12:21:43,820.31,82.03
2025-06-05 12:21:44,825.20,82.52
2025-06-05 12:21:45,825.20,82.52
2025-06-05 12:21:46,830.08,83.01
2025-06-05 12:21:47,830.08,83.01
2025-06-05 12:21:48,834.96,83.50
2025-06-05 12:21:49,834.96,83.50
2025-06-05 12:21:50,834.96,83.50
2025-06-05 12:21:51,839.84,83.98
2025-06-05 12:21:52,844.73,84.47
2025-06-05 12:21:53,844.73,84.47
2025-06-05 12:21:54,844.73,84.47
2025-06-05 12:21:55,849.61,84.96
2025-06-05 12:21:56,854.49,85.45
2025-06-05 12:21:57,854.49,85.45
2025-06-05 12:21:58,854.49,85.45
2025-06-05 12:21:59,859.38,85.94
2025-06-05 12:22:00,859.38,85.94
2025-06-05 12:22:01,859.38,85.94
2025-06-05 12:22:02,864.26,86.43
2025-06-05 12:22:03,864.26,86.43
2025-06-05 12:22:04,864.26,86.43
2025-06-05 12:22:05,869.14,86.91
2025-06-05 12:22:06,874.02,87.40
2025-06-05 12:22:07,869.14,86.91
2025-06-05 12:22:08,874.02,87.40
2025-06-05 12:22:09,874.02,87.40
2025-06-05 12:22:10,878.91,87.89
2025-06-05 12:22:11,883.79,88.38
2025-06-05 12:22:12,883.79,88.38
2025-06-05 12:22:13,883.79,88.38
2025-06-05 12:22:14,888.67,88.87
2025-06-05 12:22:15,888.67,88.87
2025-06-05 12:22:16,893.55,89.36
2025-06-05 12:22:17,893.55,89.36
2025-06-05 12:22:18,898.44,89.84
2025-06-05 12:22:19,898.44,89.84
2025-06-05 12:22:20,903.32,90.33
2025-06-05 12:22:21,903.32,90.33
2025-06-05 12:22:22,903.32,90.33
2025-06-05 12:22:23,908.20,90.82
2025-06-05 12:22:24,908.20,90.82
2025-06-05 12:22:25,908.20,90.82
2025-06-05 12:22:26,913.09,91.31
2025-06-05 12:22:27,913.09,91.31
2025-06-05 12:22:28,913.09,91.31
2025-06-05 12:22:29,913.09,91.31
2025-06-05 12:22:30,917.97,91.80
2025-06-05 12:22:31,917.97,91.80
2025-06-05 12:22:32,922.85,92.29
2025-06-05 12:22:33,922.85,92.29
2025-06-05 12:22:34,922.85,92.29
2025-06-05 12:22:35,922.85,92.29
2025-06-05 12:22:36,932.62,93.26
2025-06-05 12:22:37,927.73,92.77
2025-06-05 12:22:38,932.62,93.26
2025-06-05 12:22:39,932.62,93.26
2025-06-05 12:22:40,937.50,93.75
2025-06-05 12:22:41,937.50,93.75
2025-06-05 12:22:42,937.50,93.75
2025-06-05 12:22:43,937.50,93.75
2025-06-05 12:22:44,942.38,94.24
2025-06-05 12:22:45,942.38,94.24
2025-06-05 12:22:46,942.38,94.24
2025-06-05 12:22:47,947.27,94.73
2025-06-05 12:22:48,952.15,95.21
2025-06-05 12:22:49,947.27,94.73
2025-06-05 12:22:50,952.15,95.21
2025-06-05 12:22:51,952.15,95.21
2025-06-05 12:22:52,957.03,95.70
2025-06-05 12:22:53,957.03,95.70
2025-06-05 12:22:54,957.03,95.70
2025-06-05 12:22:55,957.03,95.70
2025-06-05 12:22:56,961.91,96.19
2025-06-05 12:22:57,966.80,96.68
2025-06-05 12:22:58,966.80,96.68
2025-06-05 12:22:59,966.80,96.68
2025-06-05 12:23:00,966.80,96.68
2025-06-05 12:23:01,971.68,97.17
2025-06-05 12:23:02,971.68,97.17
2025-06-05 12:23:03,966.80,96.68
2025-06-05 12:23:04,976.56,97.66
2025-06-05 12:23:05,976.56,97.66
2025-06-05 12:23:06,976.56,97.66
2025-06-05 12:23:07,976.56,97.66
2025-06-05 12:23:08,976.56,97.66
2025-06-05 12:23:09,981.45,98.14
2025-06-05 12:23:10,986.33,98.63
2025-06-05 12:23:11,991.21,99.12
2025-06-05 12:23:12,986.33,98.63
2025-06-05 12:23:13,986.33,98.63
2025-06-05 12:23:14,986.33,98.63
2025-06-05 12:23:15,986.33,98.63
2025-06-05 12:23:16,991.21,99.12
2025-06-05 12:23:17,996.09,99.61
2025-06-05 12:23:18,991.21,99.12
2025-06-05 12:23:19,996.09,99.61
2025-06-05 12:23:20,996.09,99.61
2025-06-05 12:23:21,996.09,99.61
2025-06-05 12:23:22,996.09,99.61
2025-06-05 12:23:23,996.09,99.61
2025-06-05 12:23:24,1000.98,100.10
2025-06-05 12:23:25,1000.98,100.10
2025-06-05 12:23:26,1005.86,100.59
2025-06-05 12:23:27,1000.98,100.10
2025-06-05 12:23:28,1005.86,100.59
2025-06-05 12:23:29,1005.86,100.59
2025-06-05 12:23:30,1005.86,100.59
2025-06-05 12:23:31,1005.86,100.59
2025-06-05 12:23:32,1005.86,100.59
2025-06-05 12:23:33,1005.86,100.59
2025-06-05 12:23:34,1010.74,101.07
2025-06-05 12:23:35,1010.74,101.07
2025-06-05 12:23:36,1010.74,101.07
2025-06-05 12:23:37,1010.74,101.07
2025-06-05 12:23:38,1010.74,101.07
2025-06-05 12:23:39,1010.74,101.07
2025-06-05 12:23:40,1015.63,101.56
2025-06-05 12:23:41,1015.63,101.56
2025-06-05 12:23:42,1015.63,101.56
2025-06-05 12:23:43,1015.63,101.56
2025-06-05 12:23:44,1020.51,102.05
2025-06-05 12:23:45,1015.63,101.56
2025-06-05 12:23:46,1015.63,101.56
2025-06-05 12:23:47,1015.63,101.56
2025-06-05 12:23:48,1015.63,101.56
2025-06-05 12:23:49,1020.51,102.05
2025-06-05 12:23:50,1020.51,102.05
2025-06-05 12:23:51,1015.63,101.56
2025-06-05 12:23:52,1020.51,102.05
2025-06-05 12:23:53,1015.63,101.56
2025-06-05 12:23:54,1020.51,102.05
2025-06-05 12:23:55,1020.51,102.05
2025-06-05 12:23:56,1025.39,102.54
2025-06-05 12:23:57,1020.51,102.05
2025-06-05 12:23:58,1025.39,102.54
2025-06-05 12:23:59,1025.39,102.54
2025-06-05 12:24:00,1025.39,102.54
2025-06-05 12:24:01,1020.51,102.05
2025-06-05 12:24:02,1025.39,102.54
2025-06-05 12:24:03,1025.39,102.54
2025-06-05 12:24:04,1025.39,102.54
2025-06-05 12:24:05,1025.39,102.54
2025-06-05 12:24:06,1025.39,102.54
2025-06-05 12:24:07,1025.39,102.54
2025-06-05 12:24:08,1030.27,103.03
2025-06-05 12:24:09,1025.39,102.54
2025-06-05 12:24:10,1025.39,102.54
2025-06-05 12:24:11,1030.27,103.03
2025-06-05 12:24:12,1025.39,102.54
2025-06-05 12:24:13,1025.39,102.54
2025-06-05 12:24:14,1030.27,103.03
2025-06-05 12:24:15,1025.39,102.54
2025-06-05 12:24:16,1025.39,102.54
2025-06-05 12:24:17,1025.39,102.54
2025-06-05 12:24:18,1030.27,103.03
2025-06-05 12:24:19,1030.27,103.03
2025-06-05 12:24:20,1030.27,103.03
2025-06-05 12:24:21,1030.27,103.03
2025-06-05 12:24:22,1030.27,103.03
2025-06-05 12:24:23,1030.27,103.03
2025-06-05 12:24:24,1035.16,103.52
2025-06-05 12:24:25,1030.27,103.03
2025-06-05 12:24:26,1035.16,103.52
2025-06-05 12:24:27,1035.16,103.52
2025-06-05 12:24:28,1040.04,104.00
2025-06-05 12:24:29,1040.04,104.00
2025-06-05 12:24:30,1040.04,104.00
2025-06-05 12:24:31,1040.04,104.00
2025-06-05 12:24:32,1044.92,104.49
2025-06-05 12:24:33,1040.04,104.00
2025-06-05 12:24:34,1040.04,104.00
2025-06-05 12:24:35,1044.92,104.49
2025-06-05 12:24:36,1044.92,104.49
2025-06-05 12:24:37,1040.04,104.00
2025-06-05 12:24:38,1044.92,104.49
2025-06-05 12:24:39,1044.92,104.49
2025-06-05 12:24:40,1049.80,104.98
2025-06-05 12:24:41,1044.92,104.49
2025-06-05 12:24:42,1044.92,104.49
2025-06-05 12:24:43,1044.92,104.49
2025-06-05 12:24:44,1044.92,104.49
2025-06-05 12:24:45,1044.92,104.49
2025-06-05 12:24:46,1049.80,104.98
2025-06-05 12:24:47,1049.80,104.98
2025-06-05 12:24:48,1054.69,105.47
2025-06-05 12:24:49,1049.80,104.98
2025-06-05 12:24:50,1054.69,105.47
2025-06-05 12:24:51,1054.69,105.47
2025-06-05 12:24:52,1059.57,105.96
2025-06-05 12:24:53,1054.69,105.47
2025-06-05 12:24:54,1059.57,105.96
2025-06-05 12:24:55,1059.57,105.96
2025-06-05 12:24:56,1059.57,105.96
2025-06-05 12:24:57,1059.57,105.96
2025-06-05 12:24:58,1064.45,106.45
2025-06-05 12:24:59,1059.57,105.96
2025-06-05 12:25:00,1064.45,106.45
2025-06-05 12:25:01,1059.57,105.96
2025-06-05 12:25:02,1064.45,106.45
2025-06-05 12:25:03,1064.45,106.45
2025-06-05 12:25:04,1069.34,106.93
2025-06-05 12:25:05,1064.45,106.45
2025-06-05 12:25:06,1064.45,106.45
2025-06-05 12:25:07,1064.45,106.45
2025-06-05 12:25:08,1069.34,106.93
2025-06-05 12:25:09,1069.34,106.93
2025-06-05 12:25:10,1069.34,106.93
2025-06-05 12:25:11,1069.34,106.93
2025-06-05 12:25:12,1074.22,107.42
2025-06-05 12:25:13,1069.34,106.93
2025-06-05 12:25:14,1074.22,107.42
2025-06-05 12:25:15,1074.22,107.42
2025-06-05 12:25:16,1074.22,107.42
2025-06-05 12:25:17,1069.34,106.93
2025-06-05 12:25:18,1074.22,107.42
2025-06-05 12:25:19,1074.22,107.42
2025-06-05 12:25:20,1074.22,107.42
2025-06-05 12:25:21,1079.10,107.91
