Timestamp,Voltage (mV),Temperature (C)
2025-06-10 14:25:26,1640.63,164.06
2025-06-10 14:25:27,1640.63,164.06
2025-06-10 14:25:28,1635.74,163.57
2025-06-10 14:25:29,1645.51,164.55
2025-06-10 14:25:30,1655.27,165.53
2025-06-10 14:25:31,1655.27,165.53
2025-06-10 14:25:32,1655.27,165.53
2025-06-10 14:25:33,1655.27,165.53
2025-06-10 14:25:34,1640.63,164.06
2025-06-10 14:25:35,1645.51,164.55
2025-06-10 14:25:36,1640.63,164.06
2025-06-10 14:25:37,1645.51,164.55
2025-06-10 14:25:38,1640.63,164.06
2025-06-10 14:25:39,1645.51,164.55
2025-06-10 14:25:40,1645.51,164.55
2025-06-10 14:25:41,1645.51,164.55
2025-06-10 14:25:42,1645.51,164.55
2025-06-10 14:25:43,1645.51,164.55
2025-06-10 14:25:44,1645.51,164.55
2025-06-10 14:25:45,1645.51,164.55
2025-06-10 14:25:46,1645.51,164.55
2025-06-10 14:25:47,1645.51,164.55
2025-06-10 14:25:48,1645.51,164.55
2025-06-10 14:25:49,1650.39,165.04
2025-06-10 14:25:50,1645.51,164.55
2025-06-10 14:25:51,1650.39,165.04
2025-06-10 14:25:52,1650.39,165.04
2025-06-10 14:25:53,1645.51,164.55
2025-06-10 14:25:54,1645.51,164.55
2025-06-10 14:25:55,1650.39,165.04
2025-06-10 14:25:56,1650.39,165.04
2025-06-10 14:25:57,1650.39,165.04
2025-06-10 14:25:58,1645.51,164.55
2025-06-10 14:25:59,1650.39,165.04
2025-06-10 14:26:00,1650.39,165.04
2025-06-10 14:26:01,1650.39,165.04
2025-06-10 14:26:02,1650.39,165.04
2025-06-10 14:26:03,1655.27,165.53
2025-06-10 14:26:04,1645.51,164.55
2025-06-10 14:26:05,1645.51,164.55
2025-06-10 14:26:06,1640.63,164.06
2025-06-10 14:26:07,1640.63,164.06
2025-06-10 14:26:08,1640.63,164.06
2025-06-10 14:26:09,1635.74,163.57
2025-06-10 14:26:10,1630.86,163.09
2025-06-10 14:26:11,1625.98,162.60
2025-06-10 14:26:12,1621.09,162.11
2025-06-10 14:26:13,1621.09,162.11
2025-06-10 14:26:14,1611.33,161.13
2025-06-10 14:26:15,1611.33,161.13
2025-06-10 14:26:16,1606.45,160.64
