Time (s),Temperature (C)
0.0,163.5040792540793
1.0,163.61975291375296
2.0,163.69556643356648
3.0,163.73151981351987
4.0,163.7276130536131
5.0,163.68384615384662
6.0,163.60015540015584
7.0,163.56432789432833
8.0,163.3444211344216
9.0,163.12815850815898
10.0,162.86126651126696
11.0,162.6373504273509
12.0,162.37540792540838
13.0,162.18333333333376
14.0,161.9040326340331
15.0,161.71735819735864
16.0,161.46692307692354
17.0,161.2875524475529
18.0,161.00915306915354
19.0,160.82871017871062
20.0,160.60963480963525
21.0,160.35263403263448
22.0,160.2166433566438
23.0,160.1384848484853
24.0,160.00777000777046
25.0,159.93518259518305
26.0,159.78032634032678
27.0,159.63624708624755
28.0,159.33894327894373
29.0,159.11603729603772
30.0,158.79299922299967
31.0,158.43906759906804
32.0,158.22185703185747
33.0,158.06699300699344
34.0,157.86560217560262
35.0,157.7364879564884
36.0,157.52336441336487
37.0,157.2897591297596
38.0,156.9582284382289
39.0,156.67121212121256
40.0,156.29808080808127
41.0,155.95464646464688
42.0,155.60980574980618
43.0,155.33296814296858
44.0,154.9771872571877
45.0,154.6832012432017
46.0,154.3095260295265
47.0,154.0029914529919
48.0,153.6398756798761
49.0,153.38815073815115
50.0,153.07302253302294
51.0,152.83094017094058
52.0,152.53455322455363
53.0,152.25664335664376
54.0,151.85607614607656
55.0,151.52176379176422
56.0,151.1292773892778
57.0,150.8191763791768
58.0,150.47763791763833
59.0,150.2683449883454
60.0,149.98457653457695
61.0,149.7595571095575
62.0,149.57373737373777
63.0,149.42888111888155
64.0,149.152276612277
65.0,148.89045066045108
66.0,148.5595881895886
67.0,148.24516705516749
68.0,147.87181818181858
69.0,147.50471639471684
70.0,147.06849261849302
71.0,146.7035042735047
72.0,146.41947163947205
73.0,146.1855710955715
74.0,145.93533799533841
75.0,145.77016317016358
76.0,145.5541958041962
77.0,145.39634032634072
78.0,145.1502097902102
79.0,144.90636363636403
80.0,144.61439005439044
81.0,144.36484848484886
82.0,144.06693861693904
83.0,143.7922533022537
84.0,143.51948717948758
85.0,143.32650349650388
86.0,143.0118414918419
87.0,142.7976923076927
88.0,142.51371406371447
89.0,142.22714063714102
90.0,141.987412587413
91.0,141.8029992229996
92.0,141.58947163947204
93.0,141.3859362859367
94.0,141.21688422688462
95.0,141.07715617715658
96.0,140.84676767676808
97.0,140.6576456876461
98.0,140.4115773115777
99.0,140.12995337995378
100.0,139.85243978244017
101.0,139.602276612277
102.0,139.28795648795685
103.0,139.04859362859398
104.0,138.77925407925446
105.0,138.54752136752174
106.0,138.31675990676032
107.0,138.13071484071523
108.0,137.93932400932442
109.0,137.7638539238543
110.0,137.51924630924668
111.0,137.2997668997673
112.0,137.03749028749064
113.0,136.85028749028785
114.0,136.57733488733524
115.0,136.38104895104934
116.0,136.16679875679915
117.0,136.01775446775483
118.0,135.81877233877273
119.0,135.67020979021018
120.0,135.46188034188071
121.0,135.28652680652718
122.0,135.13028749028786
123.0,134.99300699300736
124.0,134.81247086247123
125.0,134.69474747474786
126.0,134.57000777000817
127.0,134.51957264957304
128.0,134.39202797202836
129.0,134.35710178710218
130.0,134.26275058275098
131.0,134.1900932400936
132.0,134.08371406371444
133.0,133.93584304584343
134.0,133.72500388500427
135.0,133.55726495726535
136.0,133.37041181041218
137.0,133.2126418026422
138.0,132.9810023310027
139.0,132.85123543123584
140.0,132.6556099456103
141.0,132.49047397047437
142.0,132.2844988344992
143.0,132.15362859362898
144.0,131.97094794094832
145.0,131.85021756021794
146.0,131.71188811188847
147.0,131.5702175602179
148.0,131.36299145299182
149.0,131.2446309246313
150.0,131.06992229992264
151.0,130.92399378399412
152.0,130.77166278166314
153.0,130.69158508158546
154.0,130.56628593628628
155.0,130.53132867132902
156.0,130.45109557109592
157.0,130.38637140637175
158.0,130.3003263403267
159.0,130.2839549339553
160.0,130.21161616161655
161.0,130.15661227661266
162.0,130.02948717948755
163.0,129.9102719502723
164.0,129.787715617716
165.0,129.69821289821326
166.0,129.57802641802678
167.0,129.47725718725755
168.0,129.36034188034225
169.0,129.32192696192735
170.0,129.26362859362897
171.0,129.2009013209017
172.0,129.08855477855514
173.0,129.00261072261108
174.0,128.91466200466235
175.0,128.90790986791023
176.0,128.84020979021014
177.0,128.73090132090167
178.0,128.59932400932436
179.0,128.50327117327154
180.0,128.31854700854737
