Timestamp,Voltage (mV),Temperature (C)
2025-06-05 12:13:20,346.68,34.67
2025-06-05 12:13:21,346.68,34.67
2025-06-05 12:13:22,346.68,34.67
2025-06-05 12:13:23,346.68,34.67
2025-06-05 12:13:24,346.68,34.67
2025-06-05 12:13:25,346.68,34.67
2025-06-05 12:13:26,346.68,34.67
2025-06-05 12:13:27,346.68,34.67
2025-06-05 12:13:28,341.80,34.18
2025-06-05 12:13:29,346.68,34.67
2025-06-05 12:13:30,341.80,34.18
2025-06-05 12:13:31,341.80,34.18
2025-06-05 12:13:32,341.80,34.18
2025-06-05 12:13:33,332.03,33.20
2025-06-05 12:13:34,341.80,34.18
2025-06-05 12:13:35,336.91,33.69
2025-06-05 12:13:36,341.80,34.18
2025-06-05 12:13:37,332.03,33.20
2025-06-05 12:13:38,336.91,33.69
2025-06-05 12:13:39,341.80,34.18
2025-06-05 12:13:40,341.80,34.18
2025-06-05 12:13:41,336.91,33.69
2025-06-05 12:13:42,336.91,33.69
2025-06-05 12:13:43,341.80,34.18
2025-06-05 12:13:44,341.80,34.18
2025-06-05 12:13:45,341.80,34.18
2025-06-05 12:13:46,341.80,34.18
2025-06-05 12:13:47,341.80,34.18
2025-06-05 12:13:48,341.80,34.18
2025-06-05 12:13:49,341.80,34.18
2025-06-05 12:13:50,341.80,34.18
2025-06-05 12:13:51,346.68,34.67
2025-06-05 12:13:52,341.80,34.18
2025-06-05 12:13:53,341.80,34.18
2025-06-05 12:13:54,341.80,34.18
2025-06-05 12:13:55,341.80,34.18
2025-06-05 12:13:56,346.68,34.67
2025-06-05 12:13:57,341.80,34.18
2025-06-05 12:13:58,346.68,34.67
2025-06-05 12:13:59,341.80,34.18
2025-06-05 12:14:00,346.68,34.67
2025-06-05 12:14:01,346.68,34.67
2025-06-05 12:14:02,346.68,34.67
2025-06-05 12:14:03,346.68,34.67
2025-06-05 12:14:04,346.68,34.67
2025-06-05 12:14:05,346.68,34.67
2025-06-05 12:14:06,346.68,34.67
2025-06-05 12:14:07,346.68,34.67
2025-06-05 12:14:08,346.68,34.67
