Timestamp,Voltage (mV),Temperature (C)
2025-06-10 15:28:41,1005.86,100.59
2025-06-10 15:28:42,1005.86,100.59
2025-06-10 15:28:43,1000.98,100.10
2025-06-10 15:28:44,996.09,99.61
2025-06-10 15:28:45,981.45,98.14
2025-06-10 15:28:46,976.56,97.66
2025-06-10 15:28:47,961.91,96.19
2025-06-10 15:28:48,957.03,95.70
2025-06-10 15:28:49,952.15,95.21
2025-06-10 15:28:50,947.27,94.73
2025-06-10 15:28:51,942.38,94.24
2025-06-10 15:28:52,932.62,93.26
2025-06-10 15:28:53,927.73,92.77
2025-06-10 15:28:54,922.85,92.29
2025-06-10 15:28:55,917.97,91.80
2025-06-10 15:28:56,922.85,92.29
2025-06-10 15:28:57,908.20,90.82
2025-06-10 15:28:58,903.32,90.33
2025-06-10 15:28:59,898.44,89.84
2025-06-10 15:29:00,893.55,89.36
2025-06-10 15:29:01,888.67,88.87
2025-06-10 15:29:02,878.91,87.89
2025-06-10 15:29:03,878.91,87.89
2025-06-10 15:29:04,864.26,86.43
2025-06-10 15:29:05,854.49,85.45
2025-06-10 15:29:06,849.61,84.96
2025-06-10 15:29:07,834.96,83.50
2025-06-10 15:29:08,830.08,83.01
2025-06-10 15:29:09,815.43,81.54
2025-06-10 15:29:10,810.55,81.05
2025-06-10 15:29:11,805.66,80.57
2025-06-10 15:29:12,800.78,80.08
2025-06-10 15:29:13,795.90,79.59
2025-06-10 15:29:14,795.90,79.59
2025-06-10 15:29:15,791.02,79.10
2025-06-10 15:29:16,786.13,78.61
2025-06-10 15:29:17,781.25,78.12
2025-06-10 15:29:18,781.25,78.12
2025-06-10 15:29:19,781.25,78.12
2025-06-10 15:29:20,771.48,77.15
2025-06-10 15:29:21,761.72,76.17
2025-06-10 15:29:22,761.72,76.17
2025-06-10 15:29:23,756.84,75.68
2025-06-10 15:29:24,751.95,75.20
2025-06-10 15:29:25,747.07,74.71
2025-06-10 15:29:26,747.07,74.71
2025-06-10 15:29:27,742.19,74.22
2025-06-10 15:29:28,737.30,73.73
2025-06-10 15:29:29,732.42,73.24
2025-06-10 15:29:30,727.54,72.75
2025-06-10 15:29:31,727.54,72.75
2025-06-10 15:29:32,717.77,71.78
2025-06-10 15:29:33,712.89,71.29
2025-06-10 15:29:34,708.01,70.80
2025-06-10 15:29:35,703.13,70.31
2025-06-10 15:29:36,703.13,70.31
2025-06-10 15:29:37,698.24,69.82
2025-06-10 15:29:38,693.36,69.34
2025-06-10 15:29:39,688.48,68.85
2025-06-10 15:29:40,688.48,68.85
2025-06-10 15:29:41,678.71,67.87
2025-06-10 15:29:42,678.71,67.87
2025-06-10 15:29:43,668.95,66.89
2025-06-10 15:29:44,668.95,66.89
2025-06-10 15:29:45,664.06,66.41
2025-06-10 15:29:46,659.18,65.92
2025-06-10 15:29:47,654.30,65.43
2025-06-10 15:29:48,654.30,65.43
2025-06-10 15:29:49,649.41,64.94
2025-06-10 15:29:50,644.53,64.45
2025-06-10 15:29:51,644.53,64.45
2025-06-10 15:29:52,639.65,63.96
2025-06-10 15:29:53,634.77,63.48
2025-06-10 15:29:54,629.88,62.99
2025-06-10 15:29:55,625.00,62.50
2025-06-10 15:29:56,625.00,62.50
2025-06-10 15:29:57,620.12,62.01
2025-06-10 15:29:58,620.12,62.01
2025-06-10 15:29:59,610.35,61.04
2025-06-10 15:30:00,610.35,61.04
2025-06-10 15:30:01,605.47,60.55
2025-06-10 15:30:02,605.47,60.55
2025-06-10 15:30:03,600.59,60.06
2025-06-10 15:30:04,595.70,59.57
2025-06-10 15:30:05,595.70,59.57
2025-06-10 15:30:06,590.82,59.08
2025-06-10 15:30:07,585.94,58.59
2025-06-10 15:30:08,585.94,58.59
2025-06-10 15:30:09,576.17,57.62
2025-06-10 15:30:10,571.29,57.13
2025-06-10 15:30:11,571.29,57.13
2025-06-10 15:30:12,571.29,57.13
2025-06-10 15:30:13,566.41,56.64
2025-06-10 15:30:14,566.41,56.64
2025-06-10 15:30:15,561.52,56.15
2025-06-10 15:30:16,561.52,56.15
2025-06-10 15:30:17,556.64,55.66
2025-06-10 15:30:18,551.76,55.18
2025-06-10 15:30:19,546.88,54.69
2025-06-10 15:30:20,541.99,54.20
2025-06-10 15:30:21,541.99,54.20
2025-06-10 15:30:22,541.99,54.20
2025-06-10 15:30:23,537.11,53.71
2025-06-10 15:30:24,537.11,53.71
2025-06-10 15:30:25,532.23,53.22
2025-06-10 15:30:26,527.34,52.73
2025-06-10 15:30:27,522.46,52.25
2025-06-10 15:30:28,522.46,52.25
2025-06-10 15:30:29,517.58,51.76
2025-06-10 15:30:30,517.58,51.76
2025-06-10 15:30:31,512.70,51.27
