Timestamp,Voltage (mV),Temperature (C)
2025-06-05 12:34:25,288.09,28.81
2025-06-05 12:34:26,292.97,29.30
2025-06-05 12:34:27,288.09,28.81
2025-06-05 12:34:28,292.97,29.30
2025-06-05 12:34:29,292.97,29.30
2025-06-05 12:34:30,292.97,29.30
2025-06-05 12:34:31,297.85,29.79
2025-06-05 12:34:32,297.85,29.79
2025-06-05 12:34:33,302.73,30.27
2025-06-05 12:34:34,307.62,30.76
2025-06-05 12:34:35,307.62,30.76
2025-06-05 12:34:36,307.62,30.76
2025-06-05 12:34:37,312.50,31.25
2025-06-05 12:34:38,317.38,31.74
2025-06-05 12:34:39,317.38,31.74
2025-06-05 12:34:40,317.38,31.74
2025-06-05 12:34:41,322.27,32.23
2025-06-05 12:34:42,327.15,32.71
2025-06-05 12:34:43,327.15,32.71
2025-06-05 12:34:44,336.91,33.69
2025-06-05 12:34:45,336.91,33.69
2025-06-05 12:34:46,336.91,33.69
2025-06-05 12:34:47,341.80,34.18
2025-06-05 12:34:48,346.68,34.67
2025-06-05 12:34:49,346.68,34.67
2025-06-05 12:34:50,351.56,35.16
2025-06-05 12:34:51,356.45,35.64
2025-06-05 12:34:52,361.33,36.13
2025-06-05 12:34:53,361.33,36.13
2025-06-05 12:34:54,366.21,36.62
2025-06-05 12:34:55,371.09,37.11
2025-06-05 12:34:56,375.98,37.60
2025-06-05 12:34:57,375.98,37.60
2025-06-05 12:34:58,380.86,38.09
2025-06-05 12:34:59,385.74,38.57
2025-06-05 12:35:00,385.74,38.57
2025-06-05 12:35:01,390.63,39.06
2025-06-05 12:35:02,390.63,39.06
2025-06-05 12:35:03,395.51,39.55
2025-06-05 12:35:04,400.39,40.04
2025-06-05 12:35:05,400.39,40.04
2025-06-05 12:35:06,405.27,40.53
2025-06-05 12:35:07,410.16,41.02
2025-06-05 12:35:08,410.16,41.02
2025-06-05 12:35:09,415.04,41.50
2025-06-05 12:35:10,419.92,41.99
2025-06-05 12:35:11,424.80,42.48
2025-06-05 12:35:12,429.69,42.97
2025-06-05 12:35:13,424.80,42.48
2025-06-05 12:35:14,434.57,43.46
2025-06-05 12:35:15,439.45,43.95
2025-06-05 12:35:16,439.45,43.95
2025-06-05 12:35:17,444.34,44.43
2025-06-05 12:35:18,444.34,44.43
2025-06-05 12:35:19,449.22,44.92
2025-06-05 12:35:20,449.22,44.92
2025-06-05 12:35:21,454.10,45.41
2025-06-05 12:35:22,454.10,45.41
2025-06-05 12:35:23,458.98,45.90
2025-06-05 12:35:24,458.98,45.90
2025-06-05 12:35:25,463.87,46.39
2025-06-05 12:35:26,463.87,46.39
2025-06-05 12:35:27,468.75,46.88
2025-06-05 12:35:28,468.75,46.88
2025-06-05 12:35:29,473.63,47.36
2025-06-05 12:35:30,473.63,47.36
2025-06-05 12:35:31,478.52,47.85
2025-06-05 12:35:32,478.52,47.85
2025-06-05 12:35:33,483.40,48.34
2025-06-05 12:35:34,488.28,48.83
2025-06-05 12:35:35,488.28,48.83
2025-06-05 12:35:36,493.16,49.32
2025-06-05 12:35:37,493.16,49.32
2025-06-05 12:35:38,493.16,49.32
2025-06-05 12:35:39,498.05,49.80
2025-06-05 12:35:40,502.93,50.29
2025-06-05 12:35:41,502.93,50.29
2025-06-05 12:35:42,507.81,50.78
2025-06-05 12:35:43,507.81,50.78
2025-06-05 12:35:44,512.70,51.27
2025-06-05 12:35:45,517.58,51.76
2025-06-05 12:35:46,517.58,51.76
2025-06-05 12:35:47,517.58,51.76
2025-06-05 12:35:48,527.34,52.73
2025-06-05 12:35:49,527.34,52.73
2025-06-05 12:35:50,537.11,53.71
2025-06-05 12:35:51,537.11,53.71
2025-06-05 12:35:52,541.99,54.20
2025-06-05 12:35:53,541.99,54.20
2025-06-05 12:35:54,551.76,55.18
2025-06-05 12:35:55,546.88,54.69
2025-06-05 12:35:56,551.76,55.18
2025-06-05 12:35:57,556.64,55.66
2025-06-05 12:35:58,561.52,56.15
2025-06-05 12:35:59,561.52,56.15
2025-06-05 12:36:00,561.52,56.15
2025-06-05 12:36:01,566.41,56.64
2025-06-05 12:36:02,571.29,57.13
2025-06-05 12:36:03,571.29,57.13
2025-06-05 12:36:04,576.17,57.62
2025-06-05 12:36:05,576.17,57.62
2025-06-05 12:36:06,581.05,58.11
2025-06-05 12:36:07,581.05,58.11
2025-06-05 12:36:08,585.94,58.59
2025-06-05 12:36:09,590.82,59.08
2025-06-05 12:36:10,590.82,59.08
2025-06-05 12:36:11,590.82,59.08
2025-06-05 12:36:12,595.70,59.57
2025-06-05 12:36:13,600.59,60.06
2025-06-05 12:36:14,600.59,60.06
2025-06-05 12:36:15,605.47,60.55
2025-06-05 12:36:16,610.35,61.04
2025-06-05 12:36:17,610.35,61.04
2025-06-05 12:36:18,610.35,61.04
2025-06-05 12:36:19,615.23,61.52
2025-06-05 12:36:20,620.12,62.01
2025-06-05 12:36:21,620.12,62.01
2025-06-05 12:36:22,625.00,62.50
2025-06-05 12:36:23,625.00,62.50
2025-06-05 12:36:24,629.88,62.99
2025-06-05 12:36:25,634.77,63.48
2025-06-05 12:36:26,634.77,63.48
2025-06-05 12:36:27,639.65,63.96
2025-06-05 12:36:28,639.65,63.96
2025-06-05 12:36:29,644.53,64.45
2025-06-05 12:36:30,644.53,64.45
2025-06-05 12:36:31,644.53,64.45
2025-06-05 12:36:32,649.41,64.94
2025-06-05 12:36:33,654.30,65.43
2025-06-05 12:36:34,659.18,65.92
2025-06-05 12:36:35,659.18,65.92
2025-06-05 12:36:36,668.95,66.89
2025-06-05 12:36:37,664.06,66.41
2025-06-05 12:36:38,664.06,66.41
2025-06-05 12:36:39,664.06,66.41
2025-06-05 12:36:40,668.95,66.89
2025-06-05 12:36:41,668.95,66.89
2025-06-05 12:36:42,673.83,67.38
2025-06-05 12:36:43,673.83,67.38
2025-06-05 12:36:44,678.71,67.87
2025-06-05 12:36:45,678.71,67.87
2025-06-05 12:36:46,683.59,68.36
2025-06-05 12:36:47,688.48,68.85
2025-06-05 12:36:48,688.48,68.85
2025-06-05 12:36:49,688.48,68.85
2025-06-05 12:36:50,693.36,69.34
2025-06-05 12:36:51,693.36,69.34
2025-06-05 12:36:52,698.24,69.82
2025-06-05 12:36:53,698.24,69.82
2025-06-05 12:36:54,703.13,70.31
2025-06-05 12:36:55,703.13,70.31
2025-06-05 12:36:56,703.13,70.31
2025-06-05 12:36:57,703.13,70.31
2025-06-05 12:36:58,708.01,70.80
2025-06-05 12:36:59,708.01,70.80
2025-06-05 12:37:00,708.01,70.80
2025-06-05 12:37:01,708.01,70.80
2025-06-05 12:37:02,712.89,71.29
2025-06-05 12:37:03,712.89,71.29
2025-06-05 12:37:04,712.89,71.29
2025-06-05 12:37:05,712.89,71.29
2025-06-05 12:37:06,712.89,71.29
2025-06-05 12:37:07,712.89,71.29
2025-06-05 12:37:08,717.77,71.78
2025-06-05 12:37:09,717.77,71.78
2025-06-05 12:37:10,717.77,71.78
2025-06-05 12:37:11,717.77,71.78
2025-06-05 12:37:12,722.66,72.27
2025-06-05 12:37:13,722.66,72.27
2025-06-05 12:37:14,722.66,72.27
2025-06-05 12:37:15,727.54,72.75
2025-06-05 12:37:16,727.54,72.75
2025-06-05 12:37:17,727.54,72.75
2025-06-05 12:37:18,727.54,72.75
2025-06-05 12:37:19,727.54,72.75
2025-06-05 12:37:20,732.42,73.24
2025-06-05 12:37:21,732.42,73.24
2025-06-05 12:37:22,732.42,73.24
2025-06-05 12:37:23,732.42,73.24
2025-06-05 12:37:24,732.42,73.24
2025-06-05 12:37:25,732.42,73.24
2025-06-05 12:37:26,732.42,73.24
2025-06-05 12:37:27,737.30,73.73
2025-06-05 12:37:28,737.30,73.73
2025-06-05 12:37:29,732.42,73.24
2025-06-05 12:37:30,737.30,73.73
2025-06-05 12:37:31,737.30,73.73
2025-06-05 12:37:32,732.42,73.24
2025-06-05 12:37:33,737.30,73.73
2025-06-05 12:37:34,732.42,73.24
2025-06-05 12:37:35,732.42,73.24
2025-06-05 12:37:36,732.42,73.24
2025-06-05 12:37:37,727.54,72.75
2025-06-05 12:37:38,732.42,73.24
2025-06-05 12:37:39,732.42,73.24
2025-06-05 12:37:40,732.42,73.24
2025-06-05 12:37:41,727.54,72.75
2025-06-05 12:37:42,727.54,72.75
2025-06-05 12:37:43,727.54,72.75
2025-06-05 12:37:44,727.54,72.75
2025-06-05 12:37:45,727.54,72.75
2025-06-05 12:37:46,727.54,72.75
2025-06-05 12:37:47,727.54,72.75
2025-06-05 12:37:48,727.54,72.75
2025-06-05 12:37:49,727.54,72.75
2025-06-05 12:37:50,732.42,73.24
2025-06-05 12:37:51,732.42,73.24
2025-06-05 12:37:52,727.54,72.75
2025-06-05 12:37:53,727.54,72.75
2025-06-05 12:37:54,732.42,73.24
2025-06-05 12:37:55,732.42,73.24
2025-06-05 12:37:56,732.42,73.24
2025-06-05 12:37:57,732.42,73.24
2025-06-05 12:37:58,732.42,73.24
2025-06-05 12:37:59,732.42,73.24
2025-06-05 12:38:00,727.54,72.75
2025-06-05 12:38:01,727.54,72.75
2025-06-05 12:38:02,727.54,72.75
2025-06-05 12:38:03,727.54,72.75
2025-06-05 12:38:04,727.54,72.75
2025-06-05 12:38:05,727.54,72.75
2025-06-05 12:38:06,727.54,72.75
2025-06-05 12:38:07,722.66,72.27
2025-06-05 12:38:08,722.66,72.27
2025-06-05 12:38:09,722.66,72.27
2025-06-05 12:38:10,727.54,72.75
2025-06-05 12:38:11,727.54,72.75
2025-06-05 12:38:12,727.54,72.75
2025-06-05 12:38:13,727.54,72.75
2025-06-05 12:38:14,727.54,72.75
2025-06-05 12:38:15,727.54,72.75
2025-06-05 12:38:16,727.54,72.75
2025-06-05 12:38:17,732.42,73.24
2025-06-05 12:38:18,732.42,73.24
2025-06-05 12:38:19,727.54,72.75
2025-06-05 12:38:20,732.42,73.24
