Timestamp,Voltage (mV),Temperature (C)
2025-06-10 14:59:03,263.67,26.37
2025-06-10 14:59:04,268.55,26.86
2025-06-10 14:59:05,273.44,27.34
2025-06-10 14:59:06,278.32,27.83
2025-06-10 14:59:07,283.20,28.32
2025-06-10 14:59:08,288.09,28.81
2025-06-10 14:59:09,292.97,29.30
2025-06-10 14:59:10,302.73,30.27
2025-06-10 14:59:11,307.62,30.76
2025-06-10 14:59:12,312.50,31.25
2025-06-10 14:59:13,312.50,31.25
2025-06-10 14:59:14,327.15,32.71
2025-06-10 14:59:15,327.15,32.71
2025-06-10 14:59:16,332.03,33.20
2025-06-10 14:59:17,341.80,34.18
2025-06-10 14:59:18,346.68,34.67
2025-06-10 14:59:19,351.56,35.16
2025-06-10 14:59:20,356.45,35.64
2025-06-10 14:59:21,366.21,36.62
2025-06-10 14:59:22,371.09,37.11
2025-06-10 14:59:23,375.98,37.60
2025-06-10 14:59:24,380.86,38.09
2025-06-10 14:59:25,385.74,38.57
2025-06-10 14:59:26,395.51,39.55
2025-06-10 14:59:27,400.39,40.04
2025-06-10 14:59:28,405.27,40.53
2025-06-10 14:59:29,410.16,41.02
2025-06-10 14:59:30,419.92,41.99
2025-06-10 14:59:31,424.80,42.48
2025-06-10 14:59:32,429.69,42.97
2025-06-10 14:59:33,439.45,43.95
2025-06-10 14:59:34,444.34,44.43
2025-06-10 14:59:35,449.22,44.92
2025-06-10 14:59:36,458.98,45.90
2025-06-10 14:59:37,468.75,46.88
2025-06-10 14:59:38,473.63,47.36
2025-06-10 14:59:39,478.52,47.85
2025-06-10 14:59:40,483.40,48.34
2025-06-10 14:59:41,488.28,48.83
2025-06-10 14:59:42,493.16,49.32
2025-06-10 14:59:43,498.05,49.80
2025-06-10 14:59:44,507.81,50.78
2025-06-10 14:59:45,507.81,50.78
2025-06-10 14:59:46,517.58,51.76
2025-06-10 14:59:47,522.46,52.25
2025-06-10 14:59:48,532.23,53.22
2025-06-10 14:59:49,532.23,53.22
2025-06-10 14:59:50,541.99,54.20
2025-06-10 14:59:51,551.76,55.18
2025-06-10 14:59:52,551.76,55.18
2025-06-10 14:59:53,556.64,55.66
2025-06-10 14:59:54,566.41,56.64
2025-06-10 14:59:55,571.29,57.13
2025-06-10 14:59:56,576.17,57.62
2025-06-10 14:59:57,581.05,58.11
2025-06-10 14:59:58,585.94,58.59
2025-06-10 14:59:59,595.70,59.57
2025-06-10 15:00:00,600.59,60.06
2025-06-10 15:00:01,605.47,60.55
2025-06-10 15:00:02,615.23,61.52
2025-06-10 15:00:03,615.23,61.52
2025-06-10 15:00:04,625.00,62.50
2025-06-10 15:00:05,629.88,62.99
2025-06-10 15:00:06,639.65,63.96
2025-06-10 15:00:07,644.53,64.45
2025-06-10 15:00:08,649.41,64.94
2025-06-10 15:00:09,654.30,65.43
2025-06-10 15:00:10,659.18,65.92
2025-06-10 15:00:11,664.06,66.41
2025-06-10 15:00:12,673.83,67.38
2025-06-10 15:00:13,678.71,67.87
2025-06-10 15:00:14,683.59,68.36
2025-06-10 15:00:15,688.48,68.85
2025-06-10 15:00:16,693.36,69.34
2025-06-10 15:00:17,698.24,69.82
2025-06-10 15:00:18,708.01,70.80
2025-06-10 15:00:19,708.01,70.80
2025-06-10 15:00:20,722.66,72.27
2025-06-10 15:00:21,722.66,72.27
2025-06-10 15:00:22,727.54,72.75
2025-06-10 15:00:23,737.30,73.73
2025-06-10 15:00:24,737.30,73.73
2025-06-10 15:00:25,742.19,74.22
2025-06-10 15:00:26,751.95,75.20
2025-06-10 15:00:27,756.84,75.68
2025-06-10 15:00:28,766.60,76.66
2025-06-10 15:00:29,766.60,76.66
2025-06-10 15:00:30,776.37,77.64
2025-06-10 15:00:31,776.37,77.64
2025-06-10 15:00:32,786.13,78.61
2025-06-10 15:00:33,791.02,79.10
2025-06-10 15:00:34,795.90,79.59
2025-06-10 15:00:35,805.66,80.57
2025-06-10 15:00:36,810.55,81.05
2025-06-10 15:00:37,810.55,81.05
2025-06-10 15:00:38,815.43,81.54
2025-06-10 15:00:39,820.31,82.03
2025-06-10 15:00:40,825.20,82.52
2025-06-10 15:00:41,834.96,83.50
2025-06-10 15:00:42,839.84,83.98
2025-06-10 15:00:43,844.73,84.47
2025-06-10 15:00:44,849.61,84.96
2025-06-10 15:00:45,849.61,84.96
2025-06-10 15:00:46,859.38,85.94
2025-06-10 15:00:47,864.26,86.43
2025-06-10 15:00:48,869.14,86.91
2025-06-10 15:00:49,874.02,87.40
2025-06-10 15:00:50,878.91,87.89
2025-06-10 15:00:51,888.67,88.87
2025-06-10 15:00:52,893.55,89.36
2025-06-10 15:00:53,893.55,89.36
2025-06-10 15:00:54,903.32,90.33
2025-06-10 15:00:55,908.20,90.82
2025-06-10 15:00:56,908.20,90.82
2025-06-10 15:00:57,917.97,91.80
2025-06-10 15:00:58,922.85,92.29
2025-06-10 15:00:59,927.73,92.77
2025-06-10 15:01:00,932.62,93.26
2025-06-10 15:01:01,932.62,93.26
2025-06-10 15:01:02,942.38,94.24
2025-06-10 15:01:03,947.27,94.73
2025-06-10 15:01:04,952.15,95.21
2025-06-10 15:01:05,957.03,95.70
2025-06-10 15:01:06,961.91,96.19
2025-06-10 15:01:07,966.80,96.68
2025-06-10 15:01:08,971.68,97.17
2025-06-10 15:01:09,976.56,97.66
2025-06-10 15:01:10,981.45,98.14
2025-06-10 15:01:11,986.33,98.63
2025-06-10 15:01:12,986.33,98.63
2025-06-10 15:01:13,996.09,99.61
2025-06-10 15:01:14,1000.98,100.10
2025-06-10 15:01:15,1005.86,100.59
2025-06-10 15:01:16,1005.86,100.59
2025-06-10 15:01:17,1010.74,101.07
2025-06-10 15:01:18,1015.63,101.56
2025-06-10 15:01:19,1020.51,102.05
2025-06-10 15:01:20,1025.39,102.54
2025-06-10 15:01:21,1030.27,103.03
2025-06-10 15:01:22,1040.04,104.00
2025-06-10 15:01:23,1040.04,104.00
2025-06-10 15:01:24,1044.92,104.49
2025-06-10 15:01:25,1044.92,104.49
2025-06-10 15:01:26,1054.69,105.47
2025-06-10 15:01:27,1059.57,105.96
2025-06-10 15:01:28,1064.45,106.45
2025-06-10 15:01:29,1064.45,106.45
2025-06-10 15:01:30,1074.22,107.42
2025-06-10 15:01:31,1074.22,107.42
